resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,fastestLapTime,statusId,status_supercategory
200,1115,859,213,40,14,,R,20,0,0,,,,,31,Procedimento/Regulamentação
201,1116,830,9,1,1,1.0,1,1,8,19,31:30.849,1890849.0,2.0,1:39.060,1,Término Competitivo
202,1116,1,131,44,3,2.0,2,2,7,19,+9.465,1900314.0,3.0,1:39.138,1,Término Competitivo
203,1116,844,6,16,2,3.0,3,3,6,19,+17.987,1908836.0,3.0,1:39.634,1,Término Competitivo
204,1116,846,1,4,4,4.0,4,4,5,19,+18.863,1909712.0,15.0,1:39.795,1,Término Competitivo
205,1116,815,9,11,7,5.0,5,5,4,19,+22.928,1913777.0,6.0,1:39.824,1,Término Competitivo
206,1116,832,6,55,6,6.0,6,6,3,19,+28.307,1919156.0,5.0,1:40.223,1,Término Competitivo
207,1116,842,214,10,9,7.0,7,7,2,19,+32.403,1923252.0,5.0,1:40.155,1,Término Competitivo
208,1116,847,131,63,11,8.0,8,8,1,19,+34.250,1925099.0,10.0,1:40.253,1,Término Competitivo
209,1116,848,3,23,8,9.0,9,9,0,19,+34.567,1925416.0,17.0,1:40.094,1,Término Competitivo
210,1116,857,1,81,5,10.0,10,10,0,19,+42.403,1933252.0,16.0,1:41.037,1,Término Competitivo
211,1116,839,214,31,13,11.0,11,11,0,19,+44.986,1935835.0,15.0,1:41.013,1,Término Competitivo
212,1116,817,213,3,10,12.0,12,12,0,19,+45.509,1936358.0,14.0,1:40.434,1,Término Competitivo
213,1116,4,117,14,12,13.0,13,13,0,19,+49.086,1939935.0,16.0,1:40.805,1,Término Competitivo
214,1116,852,213,22,19,14.0,14,14,0,19,+49.733,1940582.0,17.0,1:40.632,1,Término Competitivo
215,1116,807,210,27,16,15.0,15,15,0,19,+56.650,1947499.0,18.0,1:41.232,1,Término Competitivo
216,1116,822,51,77,18,16.0,16,16,0,19,+1:04.401,1955250.0,18.0,1:41.503,1,Término Competitivo
217,1116,855,51,24,15,17.0,17,17,0,19,+1:07.972,1958821.0,18.0,1:41.595,1,Término Competitivo
218,1116,825,210,20,17,18.0,18,18,0,19,+1:11.122,1961971.0,3.0,1:41.699,1,Término Competitivo
219,1116,858,3,2,20,19.0,19,19,0,19,+1:11.449,1962298.0,6.0,1:41.947,1,Término Competitivo
220,1116,840,117,18,14,,R,20,0,16,,,5.0,1:41.460,23,Falha Mecânica
221,1118,830,9,1,2,1.0,1,1,8,24,30:07.209,1807209.0,3.0,1:14.540,1,Término Competitivo
222,1118,846,1,4,1,2.0,2,2,7,24,+4.287,1811496.0,3.0,1:14.647,1,Término Competitivo
223,1118,815,9,11,3,3.0,3,3,6,24,+13.617,1820826.0,2.0,1:15.008,1,Término Competitivo
224,1118,847,131,63,4,4.0,4,4,5,24,+25.879,1833088.0,2.0,1:14.422,1,Término Competitivo
225,1118,844,6,16,7,5.0,5,5,4,24,+28.560,1835769.0,3.0,1:15.411,1,Término Competitivo
226,1118,852,213,22,6,6.0,6,6,3,24,+29.210,1836419.0,2.0,1:15.532,1,Término Competitivo
227,1118,1,131,44,5,7.0,7,7,2,24,+34.726,1841935.0,2.0,1:15.276,1,Término Competitivo
228,1118,832,6,55,9,8.0,8,8,1,24,+35.106,1842315.0,3.0,1:15.362,1,Término Competitivo
229,1118,817,213,3,8,9.0,9,9,0,24,+35.303,1842512.0,2.0,1:15.460,1,Término Competitivo
230,1118,857,1,81,10,10.0,10,10,0,24,+38.219,1845428.0,2.0,1:15.463,1,Término Competitivo
231,1118,4,117,14,15,11.0,11,11,0,24,+39.061,1846270.0,4.0,1:15.477,1,Término Competitivo
