resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,status_supercategory
24552,1027,815,211,11,11,7.0,7,7,6.0,71,+1:13.819,5882723.0,70.0,12,1:20.485,192.512,1,Término Competitivo
24553,1027,817,4,3,13,8.0,8,8,4.0,71,+1:14.924,5883828.0,53.0,9,1:20.146,193.327,1,Término Competitivo
24554,1027,842,5,10,10,9.0,9,9,2.0,70,,,53.0,6,1:19.530,194.824,11,Término Competitivo
24555,1027,807,4,27,12,10.0,10,10,1.0,70,,,59.0,14,1:20.791,191.783,11,Término Competitivo
24556,1027,826,5,26,9,11.0,11,11,0.0,70,,,48.0,7,1:19.905,193.910,11,Término Competitivo
24557,1027,840,211,18,16,12.0,12,12,0.0,70,,,68.0,15,1:20.922,191.473,11,Término Competitivo
24558,1027,832,1,55,7,13.0,13,13,0.0,70,,,66.0,10,1:20.311,192.929,11,Término Competitivo
24559,1027,841,51,99,15,14.0,14,14,0.0,70,,,65.0,16,1:21.014,191.255,11,Término Competitivo
24560,1027,825,210,20,17,15.0,15,15,0.0,69,,,53.0,20,1:21.682,189.691,12,Término Competitivo
24561,1027,847,3,63,19,16.0,16,16,0.0,69,,,69.0,17,1:21.286,190.615,12,Término Competitivo
24562,1027,154,210,8,18,17.0,17,17,0.0,69,,,68.0,18,1:21.581,189.926,12,Término Competitivo
24563,1027,9,3,88,20,18.0,18,18,0.0,69,,,63.0,13,1:20.696,192.009,12,Término Competitivo
24564,1027,8,51,7,14,,R,19,0.0,58,,,55.0,8,1:20.082,193.481,25,Falha Mecânica
24565,1027,846,1,4,8,,R,20,0.0,48,,,46.0,19,1:21.643,189.782,54,Procedimento/Regulamentação
24626,1031,822,131,77,1,1.0,1,1,25.0,71,1:30:55.739,5455739.0,68.0,2,1:07.657,229.758,1,Término Competitivo
24566,1028,822,131,77,1,1.0,1,1,25.0,56,1:33:55.653,5635653.0,37.0,2,1:36.957,204.696,1,Término Competitivo
24567,1028,1,131,44,5,2.0,2,2,18.0,56,+4.148,5639801.0,26.0,7,1:38.446,201.600,1,Término Competitivo
24568,1028,830,9,33,3,3.0,3,3,15.0,56,+5.002,5640655.0,42.0,5,1:38.214,202.077,1,Término Competitivo
24569,1028,844,6,16,4,4.0,4,4,13.0,56,+52.239,5687892.0,44.0,1,1:36.169,206.374,1,Término Competitivo
24570,1028,848,9,23,6,5.0,5,5,10.0,56,+1:18.038,5713691.0,42.0,3,1:38.029,202.458,1,Término Competitivo
24571,1028,817,4,3,9,6.0,6,6,8.0,56,+1:30.366,5726019.0,28.0,14,1:40.564,197.354,1,Término Competitivo
24572,1028,846,1,4,8,7.0,7,7,6.0,56,+1:30.764,5726417.0,44.0,4,1:38.074,202.365,1,Término Competitivo
24573,1028,832,1,55,7,8.0,8,8,4.0,55,,,44.0,15,1:40.844,196.806,11,Término Competitivo
24574,1028,807,4,27,11,9.0,9,9,2.0,55,,,47.0,6,1:38.437,201.619,11,Término Competitivo
24575,1028,815,211,11,0,10.0,10,10,1.0,55,,,34.0,11,1:40.165,198.141,11,Término Competitivo
24576,1028,8,51,7,17,11.0,11,11,0.0,55,,,46.0,9,1:39.608,199.249,11,Término Competitivo
24577,1028,826,5,26,13,12.0,12,12,0.0,55,,,41.0,8,1:38.969,200.535,11,Término Competitivo
24578,1028,840,211,18,14,13.0,13,13,0.0,55,,,42.0,13,1:40.380,197.716,11,Término Competitivo
24579,1028,841,51,99,16,14.0,14,14,0.0,55,,,41.0,10,1:39.964,198.539,11,Término Competitivo
24580,1028,154,210,8,15,15.0,15,15,0.0,55,,,52.0,18,1:41.270,195.979,11,Término Competitivo
24581,1028,842,5,10,10,16.0,16,16,0.0,54,,,31.0,16,1:40.850,196.795,22,Falha Mecânica
24582,1028,847,3,63,18,17.0,17,17,0.0,54,,,54.0,17,1:41.239,196.039,12,Término Competitivo
24583,1028,825,210,20,12,18.0,18,18,0.0,52,,,42.0,12,1:40.347,197.781,23,Falha Mecânica
24584,1028,9,3,88,19,,R,19,0.0,31,,,22.0,20,1:43.830,191.147,44,Falha Mecânica
24585,1028,20,6,5,2,,R,20,0.0,7,,,6.0,19,1:42.165,194.262,22,Falha Mecânica
24586,1029,830,9,33,1,1.0,1,1,25.0,71,1:33:14.678,5594678.0,61.0,2,1:10.862,218.909,1,Término Competitivo
24587,1029,842,5,10,6,2.0,2,2,18.0,71,+6.077,5600755.0,65.0,9,1:12.425,214.185,1,Término Competitivo
24588,1029,832,1,55,20,3.0,3,3,15.0,71,+8.896,5603574.0,63.0,16,1:13.158,212.039,1,Término Competitivo
24589,1029,8,51,7,8,4.0,4,4,12.0,71,+9.452,5604130.0,65.0,15,1:13.135,212.106,1,Término Competitivo
24590,1029,841,51,99,12,5.0,5,5,10.0,71,+10.201,5604879.0,49.0,14,1:13.020,212.440,1,Término Competitivo
24591,1029,817,4,3,11,6.0,6,6,8.0,71,+10.541,5605219.0,44.0,11,1:12.733,213.278,1,Término Competitivo
24592,1029,1,131,44,3,7.0,7,7,6.0,71,+11.139,5605817.0,46.0,3,1:11.082,218.232,1,Término Competitivo
24593,1029,846,1,4,10,8.0,8,8,4.0,71,+11.204,5605882.0,63.0,7,1:12.328,214.472,1,Término Competitivo
24594,1029,815,211,11,15,9.0,9,9,2.0,71,+11.529,5606207.0,64.0,12,1:12.840,212.965,1,Término Competitivo
24595,1029,826,5,26,16,10.0,10,10,1.0,71,+11.931,5606609.0,49.0,8,1:12.385,214.304,1,Término Competitivo
24596,1029,825,210,20,9,11.0,11,11,0.0,71,+12.732,5607410.0,65.0,17,1:13.262,211.738,1,Término Competitivo
24597,1029,847,3,63,18,12.0,12,12,0.0,71,+13.599,5608277.0,57.0,19,1:13.752,210.331,1,Término Competitivo
24598,1029,154,210,8,7,13.0,13,13,0.0,71,+14.247,5608925.0,29.0,18,1:13.619,210.711,1,Término Competitivo
24599,1029,848,9,23,5,14.0,14,14,0.0,71,+14.927,5609605.0,52.0,4,1:11.087,218.217,1,Término Competitivo
24600,1029,807,4,27,13,15.0,15,15,0.0,71,+18.059,5612737.0,64.0,13,1:12.934,212.690,1,Término Competitivo
24601,1029,9,3,88,19,16.0,16,16,0.0,70,,,63.0,20,1:14.553,208.072,11,Término Competitivo
24602,1029,20,6,5,2,17.0,17,17,0.0,65,,,51.0,5,1:11.384,217.309,4,Incidente de Piloto
24603,1029,844,6,16,14,18.0,18,18,0.0,65,,,63.0,6,1:11.423,217.190,4,Incidente de Piloto
24604,1029,840,211,18,17,19.0,19,19,0.0,65,,,65.0,10,1:12.603,213.660,22,Falha Mecânica
24605,1029,822,131,77,4,,R,20,0.0,51,,,43.0,1,1:10.698,219.417,131,Falha Mecânica
24606,1030,1,131,44,1,1.0,1,1,26.0,55,1:34:05.715,5645715.0,53.0,1,1:39.283,201.387,1,Término Competitivo
24607,1030,830,9,33,2,2.0,2,2,18.0,55,+16.772,5662487.0,55.0,5,1:41.119,197.731,1,Término Competitivo
24608,1030,844,6,16,3,3.0,3,3,15.0,55,+43.435,5689150.0,44.0,4,1:40.442,199.064,1,Término Competitivo
24609,1030,822,131,77,20,4.0,4,4,12.0,55,+44.379,5690094.0,31.0,2,1:39.715,200.515,1,Término Competitivo
24610,1030,20,6,5,4,5.0,5,5,10.0,55,+1:04.357,5710072.0,55.0,3,1:40.128,199.688,1,Término Competitivo
24611,1030,848,9,23,5,6.0,6,6,8.0,55,+1:09.205,5714920.0,49.0,8,1:42.219,195.603,1,Término Competitivo
24612,1030,815,211,11,10,7.0,7,7,6.0,54,,,39.0,11,1:42.639,194.803,11,Término Competitivo
24613,1030,846,1,4,6,8.0,8,8,4.0,54,,,50.0,12,1:43.026,194.071,11,Término Competitivo
24614,1030,826,5,26,13,9.0,9,9,2.0,54,,,42.0,9,1:42.222,195.597,11,Término Competitivo
24615,1030,832,1,55,8,10.0,10,10,1.0,54,,,43.0,7,1:41.294,197.389,11,Término Competitivo
24616,1030,817,4,3,7,11.0,11,11,0.0,54,,,51.0,6,1:41.190,197.592,11,Término Competitivo
24617,1030,807,4,27,9,12.0,12,12,0.0,54,,,52.0,16,1:43.274,193.605,11,Término Competitivo
24618,1030,8,51,7,17,13.0,13,13,0.0,54,,,25.0,14,1:43.142,193.853,11,Término Competitivo
24619,1030,825,210,20,14,14.0,14,14,0.0,54,,,22.0,19,1:43.790,192.642,11,Término Competitivo
24620,1030,154,210,8,15,15.0,15,15,0.0,54,,,33.0,18,1:43.666,192.873,11,Término Competitivo
24621,1030,841,51,99,16,16.0,16,16,0.0,54,,,28.0,15,1:43.256,193.639,11,Término Competitivo
24622,1030,847,3,63,18,17.0,17,17,0.0,54,,,50.0,13,1:43.074,193.981,11,Término Competitivo
24623,1030,842,5,10,11,18.0,18,18,0.0,53,,,53.0,10,1:42.414,195.231,12,Término Competitivo
24624,1030,9,3,88,19,19.0,19,19,0.0,53,,,51.0,20,1:44.500,191.333,12,Término Competitivo
24625,1030,840,211,18,12,,R,20,0.0,45,,,25.0,17,1:43.326,193.507,23,Falha Mecânica
24627,1031,844,6,16,7,2.0,2,2,18.0,71,+2.700,5458439.0,64.0,4,1:07.901,228.933,1,Término Competitivo
24628,1031,846,1,4,3,3.0,3,3,16.0,71,+5.491,5461230.0,71.0,1,1:07.475,230.378,1,Término Competitivo
24629,1031,1,131,44,5,4.0,4,4,12.0,71,+5.689,5461428.0,67.0,3,1:07.712,229.572,1,Término Competitivo
24630,1031,832,1,55,8,5.0,5,5,10.0,71,+8.903,5464642.0,63.0,5,1:07.974,228.687,1,Término Competitivo
24631,1031,815,211,11,6,6.0,6,6,8.0,71,+15.092,5470831.0,63.0,6,1:08.305,227.579,1,Término Competitivo
24632,1031,842,213,10,12,7.0,7,7,6.0,71,+16.682,5472421.0,64.0,11,1:09.025,225.205,1,Término Competitivo
24633,1031,839,4,31,14,8.0,8,8,4.0,71,+17.456,5473195.0,64.0,10,1:08.932,225.509,1,Término Competitivo
24634,1031,841,51,99,18,9.0,9,9,2.0,71,+21.146,5476885.0,70.0,9,1:08.796,225.954,1,Término Competitivo
24635,1031,20,6,5,11,10.0,10,10,1.0,71,+24.545,5480284.0,71.0,8,1:08.623,226.524,1,Término Competitivo
24636,1031,849,3,6,20,11.0,11,11,0.0,71,+31.650,5487389.0,63.0,16,1:09.662,223.146,1,Término Competitivo
24637,1031,826,213,26,13,12.0,12,12,0.0,69,,,50.0,13,1:09.135,224.847,22,Falha Mecânica
24638,1031,848,9,23,4,13.0,13,13,0.0,67,,,50.0,7,1:08.432,227.156,40,Falha Mecânica
24639,1031,8,51,7,19,,R,14,0.0,53,,,48.0,12,1:09.031,225.185,36,Falha Mecânica
24640,1031,847,3,63,17,,R,15,0.0,49,,,49.0,14,1:09.317,224.256,32,Falha Mecânica
24641,1031,154,210,8,15,,R,16,0.0,49,,,46.0,17,1:10.228,221.347,23,Falha Mecânica
24642,1031,825,210,20,16,,R,17,0.0,24,,,23.0,20,1:10.720,219.807,23,Falha Mecânica
24643,1031,840,211,18,9,,R,18,0.0,20,,,4.0,18,1:10.326,221.039,5,Falha Mecânica
24644,1031,817,4,3,10,,R,19,0.0,17,,,8.0,19,1:10.610,220.150,25,Falha Mecânica
24645,1031,830,9,33,2,,R,20,0.0,11,,,5.0,15,1:09.351,224.146,40,Falha Mecânica
24646,1032,1,131,44,1,1.0,1,1,25.0,71,1:22:50.683,4970683.0,68.0,3,1:06.719,232.989,1,Término Competitivo
24647,1032,822,131,77,4,2.0,2,2,18.0,71,+13.719,4984402.0,62.0,7,1:07.534,230.177,1,Término Competitivo
24648,1032,830,9,33,2,3.0,3,3,15.0,71,+33.698,5004381.0,70.0,2,1:06.145,235.010,1,Término Competitivo
24649,1032,848,9,23,6,4.0,4,4,12.0,71,+44.400,5015083.0,67.0,6,1:07.299,230.981,1,Término Competitivo
24650,1032,846,1,4,9,5.0,5,5,10.0,71,+1:01.470,5032153.0,66.0,5,1:07.193,231.345,1,Término Competitivo
24651,1032,815,211,11,17,6.0,6,6,8.0,71,+1:02.387,5033070.0,68.0,4,1:07.188,231.362,1,Término Competitivo
24652,1032,840,211,18,12,7.0,7,7,6.0,71,+1:02.453,5033136.0,65.0,10,1:07.833,229.162,1,Término Competitivo
24653,1032,817,4,3,8,8.0,8,8,4.0,71,+1:02.591,5033274.0,65.0,9,1:07.832,229.166,1,Término Competitivo
24654,1032,832,1,55,3,9.0,9,9,3.0,70,,,68.0,1,1:05.619,236.894,11,Término Competitivo
24655,1032,826,213,26,13,10.0,10,10,1.0,70,,,60.0,13,1:08.378,227.336,11,Término Competitivo
24656,1032,8,51,7,16,11.0,11,11,0.0,70,,,57.0,14,1:08.382,227.322,11,Término Competitivo
