Distance,Speed,Time,Driver,raceId,RaceName,LapNumber
655.4649999999999,184.0,0 days 00:00:12.064000,NOR,1122,Saudi Arabia,1
660.7665248316357,188.0,0 days 00:00:12.164000,NOR,1122,Saudi Arabia,1
666.1316666666665,192.0,0 days 00:00:12.264000,NOR,1122,Saudi Arabia,1
674.8872222222221,197.0,0 days 00:00:12.424000,NOR,1122,Saudi Arabia,1
676.0062796958462,197.78571428571428,0 days 00:00:12.444000,NOR,1122,Saudi Arabia,1
684.0133497348047,203.28571428571428,0 days 00:00:12.584000,NOR,1122,Saudi Arabia,1
691.0649999999999,208.0,0 days 00:00:12.704000,NOR,1122,Saudi Arabia,1
699.4697239597973,210.82420766642582,0 days 00:00:12.844000,NOR,1122,Saudi Arabia,1
754.5718342696139,228.17291190304167,0 days 00:00:13.704000,NOR,1122,Saudi Arabia,1
757.2841666666665,229.0,0 days 00:00:13.745000,NOR,1122,Saudi Arabia,1
773.2170071967764,239.9541696,0 days 00:00:13.984000,NOR,1122,Saudi Arabia,1
773.2841666666665,240.0,0 days 00:00:13.985000,NOR,1122,Saudi Arabia,1
788.0986732963323,243.12857234285715,0 days 00:00:14.204000,NOR,1122,Saudi Arabia,1
792.2619444444443,244.0,0 days 00:00:14.265000,NOR,1122,Saudi Arabia,1
800.4295494740235,245.9833344,0 days 00:00:14.384000,NOR,1122,Saudi Arabia,1
808.7952777777776,248.0,0 days 00:00:14.505000,NOR,1122,Saudi Arabia,1
826.900110982149,250.35454603636364,0 days 00:00:14.764000,NOR,1122,Saudi Arabia,1
839.5952777777776,252.0,0 days 00:00:14.945000,NOR,1122,Saudi Arabia,1
850.7952777777776,252.0,0 days 00:00:15.105000,NOR,1122,Saudi Arabia,1
854.9334453419553,252.2458336,0 days 00:00:15.164000,NOR,1122,Saudi Arabia,1
867.6619444444443,253.0,0 days 00:00:15.345000,NOR,1122,Saudi Arabia,1
870.4091881652606,253.2437504,0 days 00:00:15.384000,NOR,1122,Saudi Arabia,1
878.9508333333332,254.0,0 days 00:00:15.505000,NOR,1122,Saudi Arabia,1
891.6801081168206,255.1187504,0 days 00:00:15.684000,NOR,1122,Saudi Arabia,1
901.7063888888887,256.0,0 days 00:00:15.825000,NOR,1122,Saudi Arabia,1
904.4691033584749,256.0,0 days 00:00:15.864000,NOR,1122,Saudi Arabia,1
927.3063888888886,256.0,0 days 00:00:16.185000,NOR,1122,Saudi Arabia,1
943.1935069757394,256.0,0 days 00:00:16.403000,NOR,1122,Saudi Arabia,1
947.2174999999997,256.0,0 days 00:00:16.465000,NOR,1122,Saudi Arabia,1
960.2174999999996,195.0,0 days 00:00:16.705000,NOR,1122,Saudi Arabia,1
964.2985413811834,191.0999936,0 days 00:00:16.783000,NOR,1122,Saudi Arabia,1
968.5286111111108,187.0,0 days 00:00:16.865000,NOR,1122,Saudi Arabia,1
